Epoch,Train_Loss,Val_Accuracy,Val_AP,ProGAN_Acc,StyleGAN_Acc,StyleGAN2_Acc,BigGAN_Acc,CycleGAN_Acc,StarGAN_Acc,GauGAN_Acc,DeepFake_Acc,Mean_Acc,Mean_AP
0,0.584,99.56%,99.98%,98.8%,87.5%,93.0%,70.5%,69.6%,78.9%,55.3%,63.5%,77.2%,90.3%
1,0.148,99.94%,99.99%,99.4%,91.2%,95.3%,75.4%,77.1%,95.2%,64.4%,78.6%,84.6%,91.4%
2,0.042,99.94%,100.0%,99.6%,91.8%,96.9%,76.4%,72.0%,96.5%,58.5%,70.2%,82.7%,89.8%
3,0.058,99.94%,100.0%,99.8%,95.2%,98.0%,76.8%,79.5%,98.3%,64.9%,68.8%,85.2%,91.9%
4,0.092,99.94%,100.0%,99.8%,93.8%,98.3%,77.8%,72.5%,88.6%,63.7%,63.0%,82.2%,91.1%
5,0.087,100.0%,100.0%,99.8%,93.0%,97.8%,78.7%,75.6%,97.3%,65.8%,69.9%,84.7%,91.7%
10,0.004,100.0%,100.0%,99.8%,94.3%,98.0%,77.6%,74.8%,98.5%,67.2%,65.6%,84.5%,91.4%
15,0.002,100.0%,100.0%,99.8%,94.8%,97.8%,79.1%,76.9%,96.3%,71.8%,64.4%,85.1%,91.9%
20,0.001,100.0%,100.0%,99.8%,95.0%,96.8%,78.9%,77.2%,95.5%,70.2%,62.3%,84.5%,91.5%
25,0.0008,100.0%,100.0%,99.8%,91.3%,92.9%,75.6%,76.1%,83.8%,69.0%,55.7%,80.5%,89.6%
27,0.0003,100.0%,100.0%,99.8%,96.4%,99.0%,80.9%,79.4%,99.5%,78.0%,61.9%,86.9%,92.6%
28,0.0001,100.0%,100.0%,99.7%,95.3%,96.3%,79.5%,73.2%,75.5%,68.7%,64.2%,81.5%,93.0%
29,0.00009,100.0%,100.0%,99.6%,96.2%,97.2%,84.2%,85.9%,99.7%,80.2%,68.1%,88.9%,92.8%
